献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
少爷 ||| 人 家庭 小辈 直系 男 ||| 家人 称 在生活上 喜欢 别人 服侍 的 儿子 或 丈夫 。
少爷 ||| 人 家庭 小辈 直系 男 ||| 男 服务生 ， 工作场地 常是 声色 场所 。
少爷 ||| 人 家庭 小辈 直系 男 ||| 尊称 别人 的 儿子 。
少爷 ||| 人 家庭 小辈 直系 男 ||| 富有 家庭 的 儿子 。
少爷 ||| 人 家庭 小辈 直系 男 ||| 男性 空服员 。
宵 ||| 时间 夜 ||| 计算 太阳 下山 后 到 太阳 出来 前 的 时间 的 单位 。
宵 ||| 时间 夜 ||| 太阳 下山 后 到 太阳 出来 前 的 时间 。
表明 ||| 表示 ||| 显示 事物 所 表达 的 推论 意义 。
表明 ||| 说明 清晰 ||| 用 言语 或 行为 明确 传达 情感 或 态度 。
恼怒 ||| 生气 ||| 非常 烦躁 、 生气 。
英勇 ||| 勇 高尚 ||| 形容 勇敢 而 有 才智 的 。
腔 ||| 特性 地方 人 说 ||| 描述 一个 人 的 想法 或 感情 的 量 。
腔 ||| 特性 地方 人 说 ||| 口音 或 说话 的 声调 。
腔 ||| 部件 身 物质 ||| 动物 体内 中空 的 部份 。
腔 ||| 部件 身 物质 ||| 比喻 物体 内 的 中空 部份 。
历史 ||| 事情 过去 ||| 过去 发生 的 重大 或具 影响力 的 事件 的 纪录 。
历史 ||| 事情 过去 ||| 过去 发生 过 的 事实 。
历史 ||| 事情 过去 ||| 特定 对象 过去 发展 过程 的 总称 ， 特指 重大 或具 影响力 的 事件 。
历史 ||| 事情 过去 ||| 形容 有 纪录 证明 在 过去 曾经 存在 的 。
历史 ||| 事情 过去 ||| 大学 中 教授 历史 知识 的 教学研究 单位 。 历史系 所 的 简省 。
历史 ||| 事情 过去 ||| 记录 并 解释 人类 历史 的 学科 。
历史 ||| 事情 过去 ||| 记载 历史 的 著作 名称 。
历史 ||| 事情 过去 ||| 教授 历史 知识 的 科目 名称 。
历史 ||| 历史 ||| 形容 目前 的 数值 是从 有 纪录 以来 最高 或 最低 的 。
